path,mean_r,mean_g,mean_b,var_r,var_g,var_b,entropy_r,entropy_g,entropy_b,centroid_x,centroid_y,orientation,eccentricity,edge_density
../../photos/SORTED_STARS_CROPPED/0066/3273.jpg,54.3872,90.4638,92.8213,3070.8498761600003,7959.856489560002,8295.439566309999,5.2125966142245055,5.66202837639758,5.61237969995336,48.330035562883005,41.04532610150495,0.3665512707661331,0.5564650153749364,0.7638
../../photos/SORTED_STARS_CROPPED/0066/3265.jpg,44.672,79.5417,81.6627,2447.203216,7339.12126111,7608.67252871,4.979699370168208,5.510804205248428,5.540534528098608,45.55590513033837,56.532288646237205,0.8150099180767526,0.718815671820031,0.7747
../../photos/SORTED_STARS_CROPPED/0066/3271.jpg,51.3116,83.3302,83.4505,3194.7075054400007,7830.16076796,7854.730349750001,5.265613429030973,5.652515887640344,5.517254688317669,42.854405532977445,57.63919743630759,1.5701853468101972,0.4589652416775535,0.7956
../../photos/SORTED_STARS_CROPPED/0066/3259.jpg,73.3052,101.7679,82.3431,4411.30385296,8117.77122959,5449.043582390001,5.8635167445699885,6.269670536858426,5.871499173497182,46.7693359711843,42.43426555220759,0.1249760579669592,0.2385522752234139,0.8513
../../photos/SORTED_STARS_CROPPED/0066/3258.jpg,74.5026,104.0437,84.3709,4181.95699324,7633.66359031,5128.911933190001,6.086108084893555,6.432801893004149,6.0532824335521465,46.64753605478326,44.8337784939551,-0.09653078367195596,0.33886005920635365,0.8605
../../photos/SORTED_STARS_CROPPED/0066/3270.jpg,77.259,133.7105,135.9196,2522.245919,6630.78988975,6724.32673584,6.295211839747505,6.666915575889979,6.659398973711536,44.70725338590425,45.352778081480366,-1.142700701122953,0.6286684678767896,0.888
../../photos/SORTED_STARS_CROPPED/0066/3264.jpg,73.2819,127.2752,130.3331,2541.87623239,7003.44686496,7204.83214439,6.288504185977946,6.896214195506179,6.884330021813795,47.645614500981495,48.863463864177106,0.4177543885750622,0.47650948739482274,0.9208
../../photos/SORTED_STARS_CROPPED/0092/4571.jpg,53.5351,41.6196,23.6389,1344.0939679900002,853.16109584,377.86590679,5.8087045458699205,5.537762555106474,5.319716249535729,47.41837340319477,43.38060185936522,-0.5694068895825954,0.5013100589212891,0.8696
../../photos/SORTED_STARS_CROPPED/0092/4565.jpg,52.8296,41.4164,25.8189,1232.06256384,828.72941104,431.1433027899999,6.0662068117931565,5.694610803261,5.452507167768353,46.99958651192611,46.42207608180559,-1.3214711502563514,0.4159223880621205,0.913
../../photos/SORTED_STARS_CROPPED/0092/4559.jpg,54.1835,40.5109,26.7417,2364.8600277499995,1485.81788119,806.45078111,5.953125126808565,5.6059314130168785,5.315783067788352,50.689684028479974,45.712852483862044,-0.37436974237180537,0.5293816044115319,0.8556
../../photos/SORTED_STARS_CROPPED/0092/4558.jpg,49.0977,36.2378,24.2433,2431.86275471,1491.7686511600002,808.24630511,5.643611860303819,5.233821786036518,5.0140320835702,49.32211400559717,46.79133859285081,-0.5750745962950669,0.5778411627910718,0.8155
../../photos/SORTED_STARS_CROPPED/0092/4564.jpg,52.3216,41.2229,25.9966,1254.75117344,860.00541559,463.16158844000006,6.06929834268724,5.686277485796526,5.414741645548945,47.33460665021868,46.10369238533139,-1.2244869597084398,0.3823226062061664,0.9089
../../photos/SORTED_STARS_CROPPED/0092/4570.jpg,56.0707,44.2291,25.3023,1303.1597015099999,871.25741319,437.37791470999997,6.054414485304018,5.636334308640821,5.498189024403794,45.831151008955096,45.01435664726579,-0.613894320752449,0.5197332544937331,0.8943
../../photos/SORTED_STARS_CROPPED/0092/4566.jpg,54.2069,42.4999,26.452,1163.94629239,791.2985999900001,418.429296,6.104204176328633,5.743724240103836,5.482204266140238,45.55597399391742,46.74558243072178,-1.2381837020282314,0.46024515153695494,0.9124
